Data,Cidade,Cargo,Nota
09/01/2021 06:00:04,Vitória,Trainee de Gestão Pública no LAB.ges (laboratório de inovação em gestão),3
09/01/2021 08:40:55,Caruaru ,Gerente de Educação Infantil ,5
08/01/2021 14:51:35,São Bernardo do Campo,Estagiária de Comunicação,3
09/01/2021 09:50:50,Rio de Janeiro,Gerente I na Coordenadoria de Informações e Monitoramento da Juventude,4
12/01/2021 15:37:32,BELO HORIZONTE,Agente governamental,4
09/01/2021 13:08:58,Jacobina,Consultor,4
27/01/2021 16:41:03,São Mateus,Assessora de Controladoria,5
22/01/2021 16:03:30,Brasília ,Gerente de Transparência Passiva,4
23/01/2021 10:28:35,Brasília ,Gerente de Transparência Passiva,4
09/01/2021 14:02:09,Curitiba,DAS 5 - função: analista de dados,5
17/01/2021 13:35:22,Goiânia,Estagiária,2
09/01/2021 20:55:45,Diadema,Economista,3
22/01/2021 12:29:55,Cuiabá,jornalista e estagiária de pós-graduação na Assessoria de Comunicação,3
10/01/2021 10:59:37,São Paulo,Voluntário,2
10/01/2021 12:43:04,Salvador,ASSESSOR JURÍDICO,5
19/01/2021 15:59:22,RIO BRANCO,TÉCNICO EM GESTÃO PÚBLICA,3
10/01/2021 22:20:31,Belo Horizonte,Eppgg,5
11/01/2021 10:08:35,Aracaju ,Estudante ,3
11/01/2021 10:15:57,Manaus ,Jornalista,3
22/01/2021 10:49:02,SAPUCAIA DO SUL,SOLDADO,3
28/01/2021 16:51:01,Florianópolis,Psicóloga,3
11/01/2021 11:23:45,Fortaleza,Gestora de Projetos,5
11/01/2021 11:37:30,Ipatinga,Oficial de Administração II,5
11/01/2021 12:37:24,Curionópolis ,Oficial de registro,5
11/01/2021 12:43:21,Rio de Janeiro,Jornalista ,2
26/01/2021 14:33:10,Rio de Janeiro,Coordenador operacional,5
11/01/2021 14:38:10,Curitiba,Agente de Tratamento de Dados Educacionais,5
11/01/2021 15:06:41,Colombo,"Chefe do Departamento de Governança de Dados, encarregada pelos Dados Educacionais",5
15/01/2021 15:11:16,Belo Horizonte,Comissionado/técnico,4
11/01/2021 15:34:04,Curitiba,Assistente do Chefe de Departamento de Governança de Dados Educacionais e Agente de Tratamento de Dados,5
07/01/2021 16:41:42,Porto Alegre,Analista Processual na Corregedoria,3
28/01/2021 10:43:07,Joinville,Agente Administrativo,4
14/01/2021 21:13:18,Recife,Coordenação de Políticas Públicas ,3
11/01/2021 16:03:01,Curitiba,Agente de Tratamento de Dados,5
11/01/2021 16:17:11,São Paulo,Assistente Técnico,5
21/01/2021 10:52:13,Santos,Professor PEB II,1
21/01/2021 07:42:25,São Paulo,Professor de Educação Básica II,4
29/01/2021 20:27:27,Manaus,Representante legal ,1
11/01/2021 16:25:01,Curitiba,Agente de tratamento de dados,5
11/01/2021 16:41:35,Colombo,Agente de Tratamento de Dados,5
11/01/2021 16:43:02,Brasília,Assessora Técnica,5
22/01/2021 20:30:45,Sinop,Diretora ,4
11/01/2021 16:59:07,Curitiba,Agente de Tratamento de Dados,5
17/01/2021 23:36:08,Dionísio ,Diretora,3
11/01/2021 17:17:29,Curitiba,Agente de Tratamento de Dados,5
11/01/2021 18:47:36,Natal,Analista de Controle Externo,5
11/01/2021 19:33:45,Divinópolis,Professor/Pesquisador,4
29/01/2021 09:23:45,Candelária,estudante,4
11/01/2021 22:05:23,São Sebastião ,Coordenadora do Programa Governo Aberto,5
11/01/2021 23:11:44,São Paulo,Pesquisadora de iniciação cientifica ,3
11/01/2021 23:13:40,SÃO PAULO,Comissão de Direitos Humanos,2
12/01/2021 10:14:09,Maceió,Serviços Administrativos,5
12/01/2021 10:20:41,Caruaru,Gerente,5
12/01/2021 11:12:20,João Pessoa,Articulador e Ponto Focal de João Pessoa,4
19/01/2021 20:22:36,São Paulo,Analista / Pesquisador,3
14/01/2021 16:02:03,RIO DE JANEIRO,ANALISTA DE MERCADO,5
12/01/2021 12:13:50,Nova Iguaçu,Coordenadora da IDMJR,4
12/01/2021 12:38:04,Itaquaquecetuba,Professor e organização do núcleo.,3
12/01/2021 15:32:27,Feira de Santana,Analista de Dados Jr,3
29/01/2021 12:03:56,Ananindeua,Pedagoga,2
29/01/2021 14:34:35,Ananindeua ,Coordenação pedagógica geral ,2
29/01/2021 12:41:56,Belém ,Coordenador de Planejamento e Pesquisa,3
12/01/2021 16:00:18,Belo Horizonte,Diretor de Transparência,5
12/01/2021 17:51:25,Franca,Secretario de Planejamento,5
29/01/2021 11:56:06,Belém,Professor e Coordenador Adjunto de Planejamento e Pesquisa,3
29/01/2021 12:23:41,Belém ,Coordenadora ,3
12/01/2021 18:41:56,SABARÁ,Diretoria e Assessoramento 2  ,3
12/01/2021 21:09:25,Santos,Assessor Técnico,5
19/01/2021 10:37:30,"São Paulo, SP",Analista de Políticas Públicas,5
13/01/2021 00:12:44,SP,estudante,4
13/01/2021 11:10:36,Caruaru,CONTROLADORA GERAL,5
22/01/2021 13:34:52,Belo Horizonte,Técnico,5
22/01/2021 14:21:46,Belo Horizonte,Pesquisador,4
25/01/2021 15:05:11,Belo Horizonte,técnico de pesquisa,3
27/01/2021 01:24:01,Belo Horizonte,Coordenador,3
13/01/2021 14:12:27,Brasília,Auxiliar Administrativo,4
13/01/2021 16:16:59,Brasília,Assessor Especial,4
26/01/2021 13:02:23,Vespasiano,Gestor cultural,4
13/01/2021 17:17:35,Belo Horizonte,Assessor Chefe de Planejamento e Gestão - Subsecretaria de Segurança Alimentar e Nutricional,4
15/01/2021 16:27:00,Maricá,Assessora de Planejamento,5
13/01/2021 19:24:04,Crato,Assessor de Planejamento e Engenharia,3
14/01/2021 08:09:20,São Paulo,Assessora Técnica de Gabinete,5
14/01/2021 11:50:34,São Paulo,Gestor de Mídias Sociais,3
14/01/2021 12:03:51,Recife,Coordenadora do Núcleo de Segurança Alimentar e Agricultura,4
19/01/2021 11:28:24,RIo de Janeiro,Gerente da Bacia de Sepetiba,4
11/01/2021 16:55:51,São Paulo,Assessoria,5
14/01/2021 12:04:03,São Paulo,analista de projetos senior,5
21/01/2021 17:08:28,SÃO PAULO,Analista de projetos pl,5
21/01/2021 20:55:59,Santo André,Assessor técnico,5
14/01/2021 12:52:58,Rio de Janeiro,Psicóloga ,5
27/01/2021 17:44:11,São Paulo,Analista de Projetos Sr,5
14/01/2021 13:24:02,Rio de Janeiro,Pesquisadora associada,4
27/01/2021 11:48:05,São Paulo,chefe de divisão ,5
14/01/2021 13:31:14,Curitiba,Co-diretor Executivo,5
21/01/2021 15:56:20,Campo Grande ,Trainee de Gestão Pública,4
14/01/2021 18:20:54,Caconde,Membro do Comitê de Dados Abertos,5
14/01/2021 18:34:29,Recife,Gestor de controle interno,3
15/01/2021 10:07:39,Piracicaba,Coordenadora de projetos,4
21/01/2021 19:38:20,São Paulo ,Arquiteta e Urbanista ,5
21/01/2021 20:11:07,São Paulo,Diretor técnico,5
21/01/2021 20:25:36,São Paulo,Coordenadora do Observatório de indicadores da cidade de SP,5
22/01/2021 10:32:20,São Paulo,Analista de Planejamento e Desenvolvimento Organizacional,5
21/01/2021 20:38:11,São Paulo,Socióloga,5
15/01/2021 12:26:34,SÃO LUÍS,Assessor - Assessoria Especial do Gabinete do Secretário,4
15/01/2021 13:32:52,Curitiba,Assessoria  jdca,2
15/01/2021 13:53:16,São Paulo,Assessor Técnico II,4
25/01/2021 13:07:07,Belo Horizonte,Diretora Central de Inovação da Gestão,4
29/01/2021 11:05:39,RECIFE,"COORDENADORA DA GERÊNCIA DE TRANSPARÊNCIA, INTEGRIDADE E GESTÃO DE RISCOS",5
08/01/2021 18:19:57,Fortaleza,Social media,3
15/01/2021 14:13:46,Rio de Janeiro ,Ouvidora,4
15/01/2021 14:27:14,SÃO PAULO,ASSESSOR TECNICO V,5
21/01/2021 14:19:42,Recife,Agente de Pesquisa,5
15/01/2021 14:28:14,São  Paulo,Assessora Técnica para implementação e monitoramento dos ODS,4
29/01/2021 18:12:12,Rio de Janeiro,Gerente de Comunicação Social,5
15/01/2021 15:03:25,Belo Horizonte,Assessora Estratégica,5
25/01/2021 08:13:38,VITORIA,Professor,5
15/01/2021 15:24:48,Itu,Diretor de Inovação,4
15/01/2021 15:43:36,Belo Horizonte,Assessora,5
15/01/2021 15:44:34,Belo Horizonte,Assessora,5
15/01/2021 16:46:51,Florianópolis,Gerente de Inovação em Governo/Coordenadora Nidus,4
15/01/2021 17:41:38,Piracicaba,Coordenadora de projetos,4
15/01/2021 17:50:55,Rio de Janeiro,COORDENAÇÃO DA REDE DE BIBLIOTECAS E DO GO FAIR BRASIL SAUDE,4
15/01/2021 19:17:45,Belo Horizonte,Coordenadora do Pacto de Gestão Participativa/EPPGG,5
27/01/2021 23:57:34,Brasília,Terceirizado - Estatístico,5
28/01/2021 12:58:31,Brasília,Assistente técnico adminisitrativo,5
15/01/2021 19:26:52,Belo Horizonte,Assessora da Superintendência,4
29/01/2021 21:59:54,Rio de Janeiro,Técnica em Propriedade Industrial,3
22/01/2021 12:34:14,Fortelza,Gestora Negocial no projeto da Aceleração da Transformação Digital do Estado do Ceará.,5
15/01/2021 19:33:33,Brasília,Analista - Desenv. de Sistemas,5
15/01/2021 19:38:39,Anchieta,Auditora de Controle Interno,3
15/01/2021 19:59:09,Niterói,Coordenador de Gestão de Sistemas de Informação,5
21/01/2021 23:04:22,Parnaíba-PI,prsofessor,4
15/01/2021 20:26:39,Serra,Economista ,5
15/01/2021 20:45:10,Belo Horizonte ,Especialista em Políticas Públicas e Gestão Governamental ,5
27/01/2021 14:53:06,São Paulo,Assessora de Mobilização do Programa Cidades Sustentáveis,2
15/01/2021 21:55:59,São José,Analista de Sistemas,5
15/01/2021 23:15:51,Goiânia,Coordenador de Jornalismo,4
16/01/2021 08:09:32,Porto Alegre ,Especialista em Saúde- Enfermeira ,5
16/01/2021 10:30:42,VICENTE PIRES,Administrador,2
16/01/2021 10:54:50,Brasília,Consultora em orçamento público ,5
16/01/2021 13:31:21,Brasília ,Subsecretaria de Assistência Social,2
16/01/2021 13:55:05,"Brasília, Distrito Federal, Brasil",Diretora,4
29/01/2021 17:16:48,São Paulo,Pesquisador,5
16/01/2021 14:36:20,Nova Friburgo,Tutor,4
16/01/2021 15:29:48,Niterói,ADJUNTO 1 - Gerente de Projetos,4
08/01/2021 12:32:04,Rio de Janeiro,Agente de Defesa Ambiental,4
23/01/2021 07:57:19,Brasília,Economista,5
22/01/2021 11:22:12,Manhuaçu,Professor/Presidente da Comissão de Ética Local,5
21/01/2021 15:39:51,Teresina,Professor EBTT,4
16/01/2021 16:14:52,Curitiba,Técnico em Assuntos Educacionais,3
21/01/2021 09:56:15,Rio de Janeiro,Analista de M&A e Gestão da Informação,4
16/01/2021 16:43:33,Canaã dos Carajás ,Gestor/ Diretor Executivo,3
16/01/2021 22:38:49,São Paulo,Assesssor Técnico,4
17/01/2021 03:25:21,São Paulo,Supervisora departamento técnico ,3
17/01/2021 09:14:45,Rio de Janeiro,Analista Pleno,5
17/01/2021 09:34:14,Teresina,Agente de Integridade ,5
17/01/2021 09:57:54,Serra,Chefe da Divisão de TI,3
17/01/2021 10:27:48,Lambari,Diretora de Licitação,5
17/01/2021 10:49:18,Rio de Janeiro,Arquivista,4
17/01/2021 11:18:15,Brasilia,Diretor de Transparência e Controle Social,3
11/01/2021 10:02:34,Curitiba,socióloga - pesquisadora,3
17/01/2021 12:29:14,Goiânia,Diretor de Inovação e Tecnologia,5
08/01/2021 11:17:57,São Paulo,Analista de Monitoramento e Avaliação,5
19/01/2021 14:13:02,São Paulo,Pesquisadora,5
21/01/2021 11:57:06,Jaú,consultora de acesso a informação,2
17/01/2021 12:49:12,Natal,Auditor,5
17/01/2021 14:19:51,Guaíra,CONTADOR,5
17/01/2021 14:25:05,Porto Alegre,Técnica em Comunicação Social,4
17/01/2021 16:26:12,Brasília,Analista de TI,5
17/01/2021 16:33:58,Goiânia,Gestor da Região Centro Oeste,4
21/01/2021 15:57:04,RIO DE JANEIRO,Analista,5
17/01/2021 19:09:00,São Paulo,Fundador,4
08/01/2021 13:31:45,Contagem,Gerente de Operações,5
18/01/2021 07:47:24,Quatá,Professor,4
18/01/2021 09:04:41,BELO HORIZONTE,DIRETOR-GERAL,4
22/01/2021 10:09:08,Fortaleza,Coordenador de projetos,2
11/01/2021 18:09:44,Rio de Janeiro,Assessor de Dados,5
18/01/2021 09:09:50,GOIANIA,Disseminação de Dados Públicos,3
08/01/2021 20:51:09,Rio de Janeiro ,Líder de Projetos ,4
18/01/2021 09:39:13,Brasília,Auxiliar Administrativo,5
08/01/2021 15:39:28,Barueri,Analista pleno de monitoramento e avaliação ,5
18/01/2021 09:46:16,Brasília,Analista de Tecnologia,5
18/01/2021 09:51:04,Fortaleza,Bibliotecária,4
18/01/2021 09:56:23,Fortaleza,Bibliotecária,3
18/01/2021 10:06:04,Brasília,Especialista em Gestão da Informação,4
13/01/2021 09:53:26,Brasília,Auxiliar administrativa,3
29/01/2021 08:44:22,Brasília ,Assessora,4
18/01/2021 11:27:20,Fortaleza ,Pesquisadora,5
18/01/2021 11:50:54,São Paulo,Especialista de Requisitos ,4
18/01/2021 11:54:11,Brasília,Assessor - Analista em Tecnologia da Informação,4
18/01/2021 13:44:29,Cidade Ocidental,Analista Técnico de Políticas Sociais ,4
19/01/2021 14:26:10,Brasília,Analista de Dados do Comprasnet (Delog) ,5
18/01/2021 13:44:41,Santo André,Coordenadora de contabilidade,4
18/01/2021 13:45:03,Santo André,Coordenadora de contabilidade,4
18/01/2021 13:54:19,São Lourenço da Mata,Auxiliar Administrativo,4
18/01/2021 14:21:59,Goiânia,Estágiário,3
25/01/2021 12:36:23,Brasília,Coordenadora de Gestão Estratégica de Dados,5
25/01/2021 14:32:48,brasília,Chefe da Divisão de Planejamento e Gestão de Riscos,3
17/01/2021 17:11:56,Brasilia,Chefe da Divisao de Planejamento e Gestao de Riacos,2
18/01/2021 15:29:27,Belo Horizonte,Especialista em Mobilidade Urbana,5
18/01/2021 16:22:48,BRASILIA,Analista Legislativo,5
18/01/2021 16:26:55,Brasília,Capitão/Mobilizada,4
18/01/2021 17:39:50,Porto Alegre,Fundador,5
18/01/2021 18:04:46,Curitiba,Presidente,3
18/01/2021 18:26:40,Santo André,Analista de sistemas,5
18/01/2021 18:33:10,Nova Iguaçu,Coordenadora de Administração Geral,3
18/01/2021 18:34:19,Brasília,Coordenador Geral da Secretaria de Transparência,5
21/01/2021 19:12:50,Belo Horizonte,Analista de Políticas Públicas,3
18/01/2021 18:52:35,Cuiabá ,Estudante,1
25/01/2021 23:31:19,Rio de Janeiro,Tecnica Administrativa ,3
18/01/2021 21:13:49,São Carlos,Estagiária,1
15/01/2021 13:34:47,BRASÍLIA,ANALISTA DE SISTEMAS,5
27/01/2021 10:35:18,Cabo Frio,Coordenador Municipal,4
18/01/2021 23:09:32,Rio de Janeiro ,Professor / Gestor de TI,2
15/01/2021 16:46:46,Jaraguá do sul ,Suplente vereador ,1
15/01/2021 18:47:30,Jaraguá do sul ,Suplente vereador ,1
16/01/2021 11:16:05,Jaraguá do sul ,Suplente vereador ,1
16/01/2021 15:29:15,Jaraguá do sul ,Suplente vereador ,1
27/01/2021 14:24:37,São Mateus,CONTROLADOR MUNICIPAL,3
22/01/2021 10:40:34,Belém,Pesquisador bolsista Programa de Capacitação Institucional,4
19/01/2021 01:16:38,Brasília,ANALISTA DE SISTEMAS,4
14/01/2021 09:39:26,Niterói ,Assessor de Turismo,3
28/01/2021 16:43:34,Niterói,Assessora Jurídica,5
28/01/2021 17:43:00,Niterói,Chefe de Departamento,4
19/01/2021 17:03:29,Cabo de Santo Agostinho,Coordenador de Dados,5
19/01/2021 17:07:20,Porto Alegre,Assistente Administrativo,5
19/01/2021 08:17:36,Belo Horizonte,Professor voluntário,3
08/01/2021 20:37:11,São Paulo,Pesquisadora júnior,2
19/01/2021 10:03:44,Porto Alegre,Analista de Dados,5
19/01/2021 11:01:53,Nilópolis,Assessor,5
09/01/2021 14:17:54,São Paulo,Coordenadora de Projetos ,5
11/01/2021 21:30:27,Brasília,Consultora - incorporação da igualdade de gênero na resposta ao COVID-19,5
19/01/2021 11:14:01,São Paulo,Diretor técnico,4
09/01/2021 17:01:05,São Paulo,Coordenador de Projeto,5
13/01/2021 00:00:41,São Paulo,Voluntário no time de dados,4
18/01/2021 06:53:42,São Paulo,Voluntário no time de dados,4
19/01/2021 11:21:41,São Paulo,Diretora Técnica,5
19/01/2021 11:38:07,Rio de Janeiro,Enfermeira ,2
19/01/2021 12:49:47,RIO DE JANEIRO,Analista de Gerenciamento de Projetos e Metas,5
19/01/2021 12:53:01,SANTA LUZIA,Diretora de Atenção Hospitalar e Urgência e Emergência,5
19/01/2021 12:53:51,Belo Horizonte,Consultora Técnica,5
19/01/2021 13:39:33,Belo Horizonte,Assessora da Sala de Situação do COVID-19,4
19/01/2021 14:05:10,Santo Amaro,Conselheiro,4
19/01/2021 15:04:27,Rio de Janeiro,Gerente de Transparência,5
21/01/2021 07:16:14,Vila Velha,Auditora,2
19/01/2021 15:26:42,Resende,Gestor ,
22/01/2021 21:17:14,Recife,Gerente de Inovaçao e Dados Abertos,4
19/01/2021 16:02:26,Praia Grande,Agente administrativo/Seção de análise de sistemas,4
19/01/2021 16:08:43,Rio de Janeiro,Analista de Gerenciamento de Projetos e Metas - Secretaria Municipal de Fazenda e Planejamento,5
19/01/2021 16:26:48,São Paulo,Assessora de imprensa da presidência,3
19/01/2021 16:31:00,SÃO PAULO,Gestor de Trânsito V,4
16/01/2021 22:32:01,Rio de Janeiro,Assessor,3
18/01/2021 08:26:19,Rio de Janeiro,Assessora,4
19/01/2021 16:32:20,Brasília,Técnico em Regulação de Serviços de Transportes Aquaviários,5
19/01/2021 16:40:04,Belo Horizonte,Especialista em Políticas Públicas e Gestão Governamental,3
19/01/2021 16:59:09,São Paulo,consultor,5
19/01/2021 17:00:48,Recife,Consultor de Gestão Educacional,3
19/01/2021 17:42:59,Salvador,Analista de Informações Geoespaciais,4
19/01/2021 18:26:30,Boca da Mata,Coordenador de TI ,4
19/01/2021 18:29:26,Belo Horizonte,Analista de Dados - Indenização,5
19/01/2021 19:23:59,Campina Grande,Assessor - Cientista de dados ,5
19/01/2021 20:05:47,rio de janeiro,pesquisadora,4
19/01/2021 20:19:39,RIO DE JANEIRO - RJ,Bibliotecária-Documentalista,2
21/01/2021 18:29:15,Belo Horizonte,agente executivo,4
19/01/2021 21:44:17,Boca da Mata,Coordenador de TI ,4
19/01/2021 23:02:44,SERRA ,Seretaria Adjunta da Secretaria das Mulheres,5
20/01/2021 00:58:42,Natal,Analista de TI,3
14/01/2021 14:58:07,Guarulhos,"Chefe de Divisão Técnica de Ciência, Tecnologia e Inovação",2
26/01/2021 09:40:39,Joinville,Gerente,3
28/01/2021 09:51:01,Joinville,Diretor de administracao e planejamento,5
